name,ring,quadrant,isNew,description,rings
SEO,Incubate,Professional Services,TRUE,,
Paypal,Incubate,Financial Services,FALSE,,
GemCloud,Study,Mareketplace and Point of Sale,FALSE,,
GemFind,Study,Mareketplace and Point of Sale,FALSE,,
Auction,Study,Mareketplace and Point of Sale,FALSE,,
Refinement Services,Study,Mareketplace and Point of Sale,FALSE,,
Antique,Study,Mareketplace and Point of Sale,TRUE,,
EVERLEDGER,Study,Mareketplace and Point of Sale,FALSE,,
Virtual Diamond Botique,Study,Mareketplace and Point of Sale,FALSE,,
Estate,Study,Mareketplace and Point of Sale,TRUE,,
Get Diamonds,Study,Mareketplace and Point of Sale,TRUE,,
Gelior Marketplace,Study,Mareketplace and Point of Sale,TRUE,,
Blog / Forum,Study,Professional Services,TRUE,,
Pinterest,Study,Professional Services,TRUE,,
YouTube,Study,Professional Services,TRUE,,
Advertising,Study,Professional Services,TRUE,,
News Feeds,Study,Professional Services,TRUE,,
Loss Prevention,Study,Professional Services,TRUE,,
Safes,Study,Professional Services,TRUE,,
Alarms,Study,Professional Services,TRUE,,
Central Station,Study,Professional Services,TRUE,,
Video,Study,Professional Services,TRUE,,
IoT,Study,Professional Services,TRUE,,
Sensors,Study,Professional Services,TRUE,,
Crime alerts,Study,Professional Services,TRUE,,
Crime prediction,Study,Professional Services,TRUE,,
AI (Artificial Intelligence),Study,Professional Services,TRUE,,
Facial Recognition,Study,Professional Services,TRUE,,
Data & Analytics,Study,Professional Services,TRUE,,
Market Insights,Study,Professional Services,TRUE,,
Monetize Data,Study,Professional Services,TRUE,,
Education & Training,Study,Professional Services,TRUE,,
Claims & Salvage,Study,Professional Services,TRUE,,
Salvage Service,Study,Professional Services,TRUE,,
Brink's Global Transport,Study,Supply Chain and Logistics,TRUE,,
Apple Pay,Study,Financial Services,FALSE,,
Venmo,Study,Financial Services,FALSE,,
Affirm – No Credit Financing,Study,Financial Services,TRUE,,
Consignment,Monitor,Mareketplace and Point of Sale,TRUE,,
Malca Amit,Monitor,Supply Chain and Logistics,FALSE,,
Used equipment,Monitor,Mareketplace and Point of Sale,TRUE,,
Collection,Monitor,Mareketplace and Point of Sale,TRUE,,
Liquidation,Monitor,Mareketplace and Point of Sale,TRUE,,
EDGE POS,Monitor,Mareketplace and Point of Sale,FALSE,,
Shopkeep POS,Monitor,Mareketplace and Point of Sale,TRUE,,
SWIM POS,Monitor,Mareketplace and Point of Sale,FALSE,,
Woo Commerce,Monitor,Mareketplace and Point of Sale,TRUE,,
Brink's Cash Box,Monitor,Supply Chain and Logistics,TRUE,,
Brink's White Glove Service,Monitor,Supply Chain and Logistics,TRUE,,
Banking,Monitor,Financial Services,FALSE,,
Credit Union,Monitor,Financial Services,FALSE,,
Payment Processing,Monitor,Financial Services,FALSE,,
Stripe,Monitor,Financial Services,TRUE,,
Lending / Financing,Monitor,Financial Services,TRUE,,
Credit,Monitor,Financial Services,TRUE,,
Wells Fargo,Monitor,Financial Services,FALSE,"<p>Wells fargo lending for AGS  Jewelers <a href=""https://www.wellsfargo.com"">Working with Amanda Howe Next meeting Scheduled July 14th</a></p>",
KYC Solutions,Monitor,Financial Services,FALSE,,
WePay,Monitor,Financial Services,TRUE,,
ANT Financial,Monitor,Financial Services,TRUE,,
Site creation,Monitor,Professional Services,FALSE,,
Hosting,Monitor,Professional Services,FALSE,,
Augmenting Existing Websites,Monitor,Professional Services,TRUE,,
Professional Associations,Monitor,Professional Services,FALSE,,
Wedding,Monitor,Professional Services,FALSE,,
Event Planning,Monitor,Professional Services,FALSE,,
Industry Events,Monitor,Professional Services,FALSE,,
Virtual Trade Shows,Monitor,Professional Services,TRUE,,
In-Person Trade Shows,Monitor,Professional Services,FALSE,,
Event Registration,Monitor,Professional Services,TRUE,,
Event Calendar,Monitor,Professional Services,TRUE,,
International Services,Monitor,Professional Services,TRUE,,
Foreign exchange,Monitor,Professional Services,TRUE,,
Appraisals,Monitor,Professional Services,TRUE,,
Salvage,Monitor,Professional Services,TRUE,,
Authenticity Verification,Monitor,Professional Services,TRUE,,
Photography / Video,Monitor,Professional Services,TRUE,,
Augmented Reality,Monitor,Professional Services,TRUE,,
Marketing,Monitor,Professional Services,TRUE,,
Social Media INFLUENCERS,Monitor,Professional Services,TRUE,,
Influencers,Monitor,Professional Services,TRUE,,
Rain POS,Accelerate,Mareketplace and Point of Sale,FALSE,"<p>
NDA in Place<br></br>
Niche POS company which works in different verticals<br></br>
True cloud based omni-channel solution which<br></br>
Builds e-commerce sites connected to POS & Inventory Management<br></br>
Have converted over first EDGE retailer<br></br>
Interested in Partnership / Investment with JM<br></br>
Does not have relationships with Wholesalers, Designers and Brands (Inventory aggregation is very appealing to them)<br></br>
Willing to avoid working with BriteCo & Zillion, as we are the preferred partner due to JM’s reputation and reach<br></br>
Open to multiple partnership models<br></br>
Willing to integrate Jeweler Programs and Care Plan as soon as we can provide APIs<br></br>
Interested in our appraisal solution<br></br>
Willing to have JM receive Data from Retailers if the Jeweler agrees<br></br>
<br></br>
SEO, 
Inventory, 
Loyalty, 
Marketing
</br></br>
Working with Clientbook to capture data about prospective retail customers to understand and keep track of customer’s needs, wants, occasions, etc…
</br><br>
<a href="" https://www.Rainpos.com/""> Rain POS</a></p>",
