name,ring,quadrant,isNew,description,rings
Cross sell shipping to all JM/Wexler clients ,Monitor,General Agency,FALSE,"<p>existing products, customers and data; need sales center staff to pursue; compensation (C7)</p>",
Expand shipping solution beyond jewelry industry,Monitor,Product Innovation,FALSE,"<p>existing products, customers and data; need sales center staff to pursue; compensation (C4)</p>",
Develop new programs utilizing GA (non-jewelry),Monitor,Product Innovation,FALSE,<p> not direct risk taking instead fee for service (C8)</p>,
"Expand into adjacent industries - pawn, fine arts, collectibles as a direct risk taker",Monitor,Product Innovation,FALSE,<p>(E3)</p>,
Expand into non-adjacent industries as an underwriting risk taker,Monitor,General Agency,FALSE,<p>(D4)</p>,
Expand into global / international jewelry market as a direct risk taker ,Monitor,General Agency,FALSE,<p>(G3)</p>,
"Expand into adjacent industries - pawn, fine arts, collectibles as a distributor for partner markets",Monitor,General Agency,FALSE,<p>(B2)</p>,
Expand into global / international jewelry market as a distributor through GA,Monitor,General Agency,FALSE,<p>distributing for other partner markets (D5)</p>,
Expand into middle-to-large/complex jewelry market with a partner,Monitor,General Agency,FALSE,<p> use partner markets?  (E1)</p>,
Bring JM technology platform to Lloyds or other partner carriers ,Monitor,General Agency,FALSE,<p>eff play (B3)</p>,
Acquire other niche market players where synergies exist carrier or GA,Monitor,General Agency,FALSE,<p>(E5)</p>,
Expand into global / international jewelry market as a reinsurer,Monitor,General Agency,FALSE,<p>(E7)</p>,
Add additional agents/producers in underpenetrated geographies ,Monitor,General Agency,FALSE,<p>(F1)</p>,
Optimize real estate foot print ,Monitor,General Agency,FALSE,<p>Review our current real estate assets and determine path forward as lease contracts come due F6</p>,
Warranted App,Accelerate,Commercial Lines,FALSE,<p>The “warranted” Jewelers Block application has been a staple of the inland marine product for many years and represents essentially the sole mechanism for garnering relevant underwriting and rating information about insured risks. The application is a multi-page document which is filled out by the prospect or insured or by the agent in discussion with the prospect or insured. The document is signed by the prospect or insured certifying the information relevant to their insurance risk/needs is accurate. <p>,
Alarm Response Program,Accelerate,JM Risk Services,FALSE,<p>To provide policyholders with a guard response service through Securitas to ensure all alarm activations are investigated.<p> ,
HSB Water Sensors,Accelerate,JM Risk Services,FALSE,"<p>IoT device which targets the presence of moisture and/or falling temperature, humidity, and power/wifi outage and alerts the property owner via a mobile application so that mitigation efforts may be deployed.<p>",
eLearning Modules,Accelerate,JM Risk Services,TRUE,<p>Provide simulation based elearning modules based on JSA Jewelers Security Manual<p>,
Parametric Weather ,Study,General Agency,TRUE,,
Trade Risk ,Study,Product Innovation,FALSE,,
Memo ,Study,Product Innovation,FALSE,,
HR Consultative Services - Jeweler,Monitor,General Agency,TRUE,,
Lack of Talent Recruiting - Jeweler,Monitor,General Agency,TRUE,,
Training - Agents/Producers/Jewelers,Monitor,General Agency,TRUE,,
Non-jewelery Retail Agency Solution,Monitor,General Agency,TRUE,<p>Review consolidation of AMS 360 instances or move to GA Tech Solution,
E-Commerce Fraud Protection,Monitor,General Agency,TRUE,<p> https://www2.clear.sale/hubfs/downloads/eBook_Merchant_Guide_4_ecommerce_FP_v3a_Update2020.pdf<p>,
