name,ring,quadrant,isNew,description,rings
AJG Cost Structure,Monitor,General Agency,FALSE,<p>Negotiate lower cost structure with AJG on Lloyds GA business(F5)</p>,
Create data-driven benchmark approach,Monitor,Product Innovation,FALSE,<p>Create data-driven benchmark approach (for external use) to aid customers in identifying levers to increase revenue and decrease risk of loss(B1)</p>,
Leveraging Jeweler Programs,Monitor,Product Innovation,FALSE,"<p>Leveraging Jeweler Programs, Express and Care Plan within the GA(H1)</p>",
"Create a ""package"" of services & products ",Monitor,Product Innovation,FALSE,"<p>Create a ""package"" of services & products by customer type or segmentmigrate all data to jeweler data platform; add external data; add data expertise (people) to the business units (E2)</p>",
Cross-sell existing GA customers ,Monitor,General Agency,FALSE,"<p>Cross-sell existing GA customers with JM PL lines and services existing products, customers and data; need sales center staff (create capacity within) to pursue; compensation (B4)</p>",
JM Underwriting ,Monitor,General Agency,FALSE,<p>Create and offer JM Underwriting services to other carriers for jewelry industry (A3)</p>,
JMIC underwriting appetite ,Monitor,Commercial Lines,FALSE,"<p>Expand existing JMIC underwriting appetite in jewelry industry (larger, other classes, etc.) Re-visit uw guidelines with data; buy or develop talent (A4)</p>",
Additional agencies ,Monitor,General Agency,FALSE,"<p>Acquire additional agencies lacking succession, current IA(C1)</p>",
Life Events,Monitor,Product Innovation,FALSE,"<p>Develop ability to target key life events: engagement, wedding, home purchase, birth, etc. Migrate all data to jeweler data platform; add external data; add data expertise (people) to the business units (C3)</p>",
Shipping Solution Beyond Jewelry,Monitor,Product Innovation,FALSE,"<p>Expand shipping solution beyond jewelry industry, existing products, customers and data; need sales center staff to pursue; compensation (C4)</p>",
GA Programs,Monitor,Product Innovation,FALSE,"<p>Develop new programs utilizing GA (non-jewelry), not direct risk taking instead fee for service (C8)</p>",
Adjacent Industries ,Monitor,Product Innovation,FALSE,"<p>Expand into adjacent industries - pawn, fine arts, collectibles as a direct risk taker, (E3)</p>",
Non-adjacent industries ,Monitor,Product Innovation,FALSE,"<p>Expand into non-adjacent industries as an underwriting risk taker,(D4)</p>",
Global / international ,Monitor,Product Innovation,FALSE,"<p>Expand into global / international jewelry market as a direct risk taker , (G3)</p>",
Adjacent industries - distributor,Monitor,Product Innovation,FALSE,"<p>Expand into adjacent industries - pawn, fine arts, collectibles as a distributor for partner markets, (B2)</p>",
Global / international - distributor,Monitor,Product Innovation,FALSE,"<p>Expand into global / international jewelry market as a distributor through GA, (D5)</p>",
Middle-to-large/complex jewelry Markets,Monitor,General Agency,FALSE,"<p> Expand into middle-to-large/complex jewelry market with a partner, (E1)</p>",
GA Technology - other markets,Monitor,General Agency,FALSE,"<p>Bring JM technology platform to Lloyds or other partner carriers , eff play (B3)</p>",
Niche market ,Monitor,General Agency,FALSE,"<p>Acquire other niche market players where synergies exist carrier or GA, (E5)</p>",
Global / international - reinsurer,Monitor,General Agency,FALSE,"<p>Expand into global / international jewelry market as a reinsurer, (E7)</p>",
Underpenetrated geographies ,Monitor,General Agency,FALSE,"<p>Add additional agents/producers in underpenetrated geographies , (F1)</p>",
Wexler Real Estate,Monitor,General Agency,FALSE,"<p>Optimize real estate foot print , Review our current real estate assets and determine path forward as lease contracts come due F6</p>",
HR Consultative Services - Jeweler,Monitor,General Agency,TRUE,,
Lack of Talent Recruiting - Jeweler,Monitor,General Agency,TRUE,,
Training - Agents/Producers/Jewelers,Monitor,General Agency,TRUE,,
Non-jewelery Retail Agency Solution,Monitor,General Agency,TRUE,<p>Review consolidation of AMS 360 instances or move to GA Tech Solution,
E-Commerce Fraud Protection,Monitor,General Agency,TRUE,<p> https://www2.clear.sale/hubfs/downloads/eBook_Merchant_Guide_4_ecommerce_FP_v3a_Update2020.pdf<p>,
Canada Deep Dive,Monitor,Commercial Lines,TRUE,,
Crypto Currency,Monitor,Commercial Lines,TRUE,,
JS to JB Transition Plan,Monitor,Commercial Lines,TRUE,,
Security Upgrade Coverage,Monitor,Commercial Lines,TRUE,,
Workmanship Language Updates,Monitor,Product Innovation,TRUE,,
